Symbol	Entrez	Ensembl
CALML4	91860	ENSG00000129007
CALML5	51806	ENSG00000178372
CALML6	163688	ENSG00000169885
CALN1	83698	ENSG00000183166
CALR	811	
CALR3	125972	
CALR4P	441884	ENSG00000227742
CALU	813	ENSG00000128595
CALY	50632	ENSG00000130643
CAMK1	8536	ENSG00000134072
CAMK1D	57118	ENSG00000183049
CAMK1G	57172	ENSG00000008118
CAMK2A	815	ENSG00000070808
CAMK2B	816	ENSG00000058404
CAMK2D	817	ENSG00000145349
CAMK2G	818	ENSG00000148660
CAMK2N1	55450	ENSG00000162545
CAMK2N2	94032	ENSG00000163888
CAMK4	814	ENSG00000152495
CAMKK1	84254	ENSG00000004660
CAMKK2	10645	
CAMKMT	79823	ENSG00000143919
CAMKV	79012	ENSG00000164076
CAMLG	819	ENSG00000164615
CAMP	820	ENSG00000164047
CAMSAP1	157922	ENSG00000130559
CAMSAP2	23271	ENSG00000118200
CAMSAP3	57662	
CAMTA1	23261	ENSG00000171735
CAMTA1-IT1		ENSG00000237402
CAMTA2	23125	ENSG00000108509
CAND1	55832	ENSG00000111530
CAND2	23066	ENSG00000144712
CANDN1	338434	
CANT1	124583	
CANX	821	ENSG00000127022
CAP1	10487	ENSG00000131236
CAP1P1	401076	
CAP1P2	399748	ENSG00000232004
CAP2	10486	ENSG00000112186
CAP2P1	353163	ENSG00000259151
CAPG	822	ENSG00000042493
CAPN1	823	ENSG00000014216
CAPN2	824	ENSG00000162909
CAPN3	825	ENSG00000092529
CAPN5	726	
CAPN6	827	ENSG00000077274
CAPN7	23473	ENSG00000131375
CAPN8	388743	ENSG00000203697
CAPN9	10753	ENSG00000135773
CAPN10	11132	ENSG00000142330
CAPN10-AS1	101752400	ENSG00000260942
CAPN11	11131	ENSG00000137225
CAPN12	147968	ENSG00000182472
CAPN13	92291	ENSG00000162949
CAPN14	440854	ENSG00000214711
CAPN15	6650	ENSG00000103326
CAPNS1	826	ENSG00000126247
CAPNS1P1	391053	ENSG00000215874
CAPNS2	84290	
CAPRIN1	4076	ENSG00000135387
CAPRIN2	65981	ENSG00000110888
CAPS	828	
CAPS2	84698	ENSG00000180881
CAPSL	133690	ENSG00000152611
CAPZA1	829	ENSG00000116489
CAPZA1P	53338	
CAPZA2	830	ENSG00000198898
CAPZA3	93661	ENSG00000177938
CAPZB	832	ENSG00000077549
CARD6	84674	ENSG00000132357
CARD8	22900	ENSG00000105483
CARD9	64170	ENSG00000187796
CARD10	29775	ENSG00000100065
CARD11	84433	ENSG00000198286
CARD14	79092	ENSG00000141527
CARD16	114769	
CARD17	440068	
CARD18	59082	
CARF	79800	ENSG00000138380
CARHSP1	23589	ENSG00000153048
CARKD	55739	ENSG00000213995
CARM1	10498	ENSG00000142453
CARM1P1	100130873	ENSG00000227835
CARNS1	57571	ENSG00000172508
CARS	833	ENSG00000110619
CARS-AS1		ENSG00000247473
CARS2	79587	ENSG00000134905
CARSP1	100420042	ENSG00000271232
CARSP2		ENSG00000253756
CARTPT	9607	ENSG00000164326
CASC1	55259	ENSG00000118307
CASC2	255082	ENSG00000177640
CASC3	22794	ENSG00000108349
CASC4	113201	ENSG00000166734
CASC4P1	100420689	ENSG00000238132
CASC5	57082	ENSG00000137812
CASC6		ENSG00000224944
CASC7	286109	ENSG00000259758
CASC8	727677	ENSG00000246228
CASC9	101805492	ENSG00000249395
CASC10	399726	ENSG00000204682
CASC11	100270680	ENSG00000249375
CASC14	729177	ENSG00000260455
CASC15	401237	ENSG00000238274
CASC16	643714	ENSG00000249231
CASC17		ENSG00000260785
CASC18	101929110	ENSG00000257859
CASC19	103021165	ENSG00000254166
CASC20	101929244	ENSG00000229876
CASC21	103021164	ENSG00000253929
CASC22	283854	
CASC23	103581031	ENSG00000255420
CASD1	64921	ENSG00000127995
CASK	8573	ENSG00000147044
CASK-AS1		ENSG00000233033
CASKIN1	57524	
CASKIN2	57513	ENSG00000177303
CASKP1	10029	ENSG00000234059
CASP1	834	ENSG00000137752
CASP1P1	100874457	ENSG00000255430
CASP1P2	440067	ENSG00000254750
CASP1P3	100422634	
CASP2	835	ENSG00000106144
CASP3	836	ENSG00000164305
CASP3P1	100131616	ENSG00000237033
CASP4	837	ENSG00000196954
CASP5	838	ENSG00000137757
CASP6	839	ENSG00000138794
CASP7	840	ENSG00000165806
CASP8	841	ENSG00000064012
CASP8AP2	9994	ENSG00000118412
CASP9	842	ENSG00000132906
CASP10	843	ENSG00000003400
CASP12	100506742	ENSG00000204403
CASP14	23581	
CASP16	197350	ENSG00000228146
CASQ1	844	ENSG00000143318
CASQ2	845	ENSG00000118729
CASR	846	ENSG00000036828
CASS4	57091	ENSG00000087589
CAST	831	ENSG00000153113
CASZ1	54897	ENSG00000130940
CAT	847	ENSG00000121691
CATIP	375307	ENSG00000158428
CATIP-AS1	101928513	ENSG00000225062
CATIP-AS2		ENSG00000237281
CATR1	856	
CATSPER1	117144	ENSG00000175294
CATSPER2	117155	ENSG00000166762
CATSPER2P1	440278	ENSG00000205771
CATSPER3	347732	ENSG00000152705
CATSPER4	378807	ENSG00000188782
CATSPERB	79820	ENSG00000133962
CATSPERD	257062	ENSG00000174898
CATSPERG	57828	ENSG00000099338
CAV1	857	ENSG00000105974
CAV2	858	ENSG00000105971
CAV3	859	ENSG00000182533
CBFA2T2	9139	ENSG00000078699
CBFA2T3	863	ENSG00000129993
CBFB	865	ENSG00000067955
CBL	867	ENSG00000110395
CBLB	868	ENSG00000114423
CBLC	23624	ENSG00000142273
CBLL1	79872	ENSG00000105879
CBLN1	869	ENSG00000102924
CBLN2	147381	ENSG00000141668
CBLN3	643866	
CBLN4	140689	ENSG00000054803
CBR1	873	ENSG00000159228
CBR3	874	ENSG00000159231
CBR3-AS1	100506428	ENSG00000236830
CBR4	84869	ENSG00000145439
CBS	875	ENSG00000160200
CBWD1	55871	ENSG00000172785
CBWD2	150472	ENSG00000136682
CBWD3	445571	ENSG00000196873
CBWD4P	653510	
CBWD5	220869	ENSG00000147996
CBWD6	644019	ENSG00000204790
CBWD7	728013	ENSG00000215126
CBX1	10951	ENSG00000108468
CBX1P1	645251	ENSG00000230823
CBX1P2	100147811	ENSG00000214322
CBX1P3	100128723	ENSG00000237379
CBX1P4	100130461	ENSG00000214321
CBX1P5	100133259	ENSG00000231516
CBX2	84733	ENSG00000173894
CBX3	11335	ENSG00000122565
CBX3P1	159770	ENSG00000177447
CBX3P2	645158	
CBX3P3	100421861	ENSG00000250045
CBX3P4	100873792	ENSG00000256030
CBX3P5	100421943	ENSG00000257666
CBX3P6	642721	ENSG00000228837
CBX3P7	100421975	ENSG00000197692
CBX3P8	100286965	ENSG00000254496
CBX3P9	644101	ENSG00000217241
CBX4	8535	ENSG00000141582
CBX5	23468	ENSG00000094916
CBX5P1	100151661	ENSG00000241535
CBX6	23466	ENSG00000183741
CBX7	23492	ENSG00000100307
CBX8	57332	ENSG00000141570
CBY1	25776	ENSG00000100211
CBY3	646019	ENSG00000204659
CC2D1A	54862	
CC2D1B	200014	ENSG00000154222
CC2D2A	57545	ENSG00000048342
CC2D2B	387707	ENSG00000188649
CCA1		
CCAL1		
CCAR1	55749	ENSG00000060339
CCAR2	57805	
CCAT1	100507056	ENSG00000247844
CCAT2	101805488	
CCBE1	147372	
CCBL1	883	ENSG00000171097
CCBL2	56267	ENSG00000137944
CCDC3	83643	ENSG00000151468
CCDC6	8030	ENSG00000108091
CCDC7	79741	ENSG00000216937
CCDC8	83987	ENSG00000169515
CCDC9	26093	
CCDC11P1	100129040	ENSG00000251515
CCDC12	151903	ENSG00000160799
CCDC13	152206	ENSG00000244607
CCDC13-AS1		ENSG00000173811
CCDC14	64770	ENSG00000175455
CCDC15	80071	ENSG00000149548
CCDC17	149483	ENSG00000159588
CCDC18	343099	ENSG00000122483
CCDC22	28952	ENSG00000101997
CCDC23	374969	ENSG00000177868
CCDC24	149473	ENSG00000159214
CCDC25	55246	ENSG00000147419
CCDC26	137196	ENSG00000229140
CCDC27	148870	ENSG00000162592
CCDC28A	25901	ENSG00000024862
CCDC28B	79140	ENSG00000160050
CCDC30	728621	ENSG00000186409
CCDC33	80125	
CCDC34	91057	ENSG00000109881
CCDC34P1	100288584	ENSG00000250556
CCDC36	339834	ENSG00000173421
CCDC37	348807	ENSG00000163885
CCDC37-AS1	100506907	ENSG00000249833
CCDC38	120935	
CCDC39	339829	ENSG00000145075
CCDC39-AS1		ENSG00000243187
CCDC40	55036	ENSG00000141519
CCDC42	146849	ENSG00000161973
CCDC42B	387885	ENSG00000186710
CCDC43	124808	
CCDC47	57003	
CCDC50	152137	ENSG00000152492
CCDC51	79714	ENSG00000164051
CCDC53	51019	ENSG00000120860
CCDC54	84692	ENSG00000138483
CCDC57	284001	ENSG00000176155
CCDC58	131076	ENSG00000160124
CCDC58P1	645859	
CCDC58P2	100287708	ENSG00000236944
CCDC58P3	732448	ENSG00000267076
CCDC58P4		
CCDC58P5	100420588	ENSG00000256681
CCDC59	29080	
CCDC60	160777	ENSG00000183273
CCDC61	729440	ENSG00000104983
CCDC62	84660	ENSG00000130783
CCDC63	160762	
CCDC64	92558	
CCDC64B	146439	
CCDC65	85478	ENSG00000139537
CCDC66	285331	ENSG00000180376
CCDC67	159989	
CCDC68	80323	ENSG00000166510
CCDC69	26112	ENSG00000198624
CCDC70	83446	ENSG00000123171
CCDC71	64925	ENSG00000177352
CCDC71L	168455	ENSG00000253276
CCDC73	493860	ENSG00000186714
CCDC74A	90557	ENSG00000163040
CCDC74B	91409	ENSG00000152076
CCDC75P1	344709	ENSG00000182921
CCDC77	84318	ENSG00000120647
CCDC78	124093	ENSG00000162004
CCDC79	283847	ENSG00000249961
CCDC80	151887	ENSG00000091986
CCDC81	60494	ENSG00000149201
CCDC82	79780	ENSG00000149231
CCDC83	220047	ENSG00000150676
CCDC84	338657	ENSG00000186166
CCDC85A	114800	ENSG00000055813
CCDC85B	11007	
CCDC85C	317762	
CCDC86	79080	ENSG00000110104
CCDC87	55231	ENSG00000182791
CCDC88A	55704	ENSG00000115355
CCDC88B	283234	ENSG00000168071
CCDC88C	440193	
CCDC89	220388	ENSG00000179071
CCDC90AP1	53383	
CCDC90B	60492	ENSG00000137500
CCDC91	55297	
CCDC92	80212	ENSG00000119242
CCDC93	54520	ENSG00000125633
CCDC94	55702	
CCDC96	257236	ENSG00000173013
CCDC97	90324	
CCDC101	112869	ENSG00000176476
CCDC102A	92922	ENSG00000135736
CCDC102B	79839	ENSG00000150636
CCDC103	388389	ENSG00000167131
CCDC105	126402	
CCDC106	29903	ENSG00000173581
CCDC107	203260	ENSG00000159884
CCDC108	255101	ENSG00000181378
CCDC109B	55013	ENSG00000005059
CCDC110	256309	ENSG00000168491
CCDC112	153733	ENSG00000164221
CCDC113	29070	ENSG00000103021
CCDC114	93233	ENSG00000105479
CCDC115	84317	ENSG00000136710
CCDC116	164592	ENSG00000161180
CCDC117	150275	ENSG00000159873
CCDC120	90060	ENSG00000147144
CCDC121	79635	ENSG00000176714
CCDC122	160857	ENSG00000151773
CCDC124	115098	
CCDC125	202243	ENSG00000183323
CCDC126	90693	ENSG00000169193
CCDC127	133957	ENSG00000164366
CCDC129	223075	ENSG00000180347
CCDC130	81576	
CCDC132	55610	ENSG00000004766
CCDC134	79879	ENSG00000100147
CCDC136	64753	ENSG00000128596
CCDC137	339230	
CCDC137P	642802	
CCDC138	165055	ENSG00000163006
CCDC140	151278	ENSG00000163081
CCDC141	285025	ENSG00000163492
CCDC142	84865	ENSG00000135637
CCDC144A	9720	ENSG00000170160
CCDC144B	284047	ENSG00000154874
CCDC144CP	348254	ENSG00000154898
CCDC144NL	339184	ENSG00000205212
CCDC146	57639	ENSG00000135205
CCDC147-AS1	100505869	ENSG00000231233
CCDC148	130940	ENSG00000153237
CCDC148-AS1	554201	ENSG00000227480
CCDC149	91050	
CCDC150	284992	ENSG00000144395
CCDC150P1	100420678	ENSG00000256304
CCDC151	115948	
CCDC152	100129792	ENSG00000198865
CCDC153	283152	ENSG00000248712
CCDC154	645811	ENSG00000197599
CCDC155	147872	ENSG00000161609
CCDC157	550631	ENSG00000187860
CCDC158	339965	ENSG00000163749
CCDC159	126075	ENSG00000183401
CCDC160	347475	ENSG00000203952
CCDC162P	221262	ENSG00000203799
CCDC163P	126661	ENSG00000236624
CCDC166	100130274	ENSG00000255181
CCDC167	154467	ENSG00000198937
CCDC168	643677	ENSG00000175820
CCDC169	728591	ENSG00000242715
CCDC169-SOHLH2	100526761	ENSG00000250709
CCDC170	80129	ENSG00000120262
CCDC171	203238	ENSG00000164989
CCDC172	374355	ENSG00000182645
CCDC173	129881	ENSG00000154479
CCDC174	51244	ENSG00000154781
CCDC175	729665	ENSG00000151838
CCDC176	80127	ENSG00000119636
CCDC177	56936	ENSG00000255994
CCDC178	374864	ENSG00000166960
CCDC179	100500938	ENSG00000255359
CCDC180	100499483	
CCDC181	57821	ENSG00000117477
CCDC182	101927581	ENSG00000166329
CCDC183	84960	ENSG00000213213
CCDC183-AS1	100131193	ENSG00000228544
CCDC184	387856	ENSG00000177875
CCDC185	164127	ENSG00000178395
CCDC186	55088	ENSG00000165813
CCER1	196477	ENSG00000197651
CCER2	643669	ENSG00000262484
CCHCR1	54535	ENSG00000204536
CCIN	881	ENSG00000185972
CCK	885	ENSG00000187094
CCKAR	886	ENSG00000163394
CCKBR	887	ENSG00000110148
CCL1	6346	ENSG00000108702
CCL2	6347	ENSG00000108691
CCL3	6348	ENSG00000006075
CCL3L1	6349	ENSG00000205021
CCL3L3	414062	
CCL3P1	390788	
CCL4	6351	ENSG00000129277
CCL4L1	9560	ENSG00000205020
CCL4L2	388372	ENSG00000197262
CCL5	6352	ENSG00000161570
CCL7	6354	ENSG00000108688
CCL8	6355	ENSG00000108700
CCL11	6356	ENSG00000172156
CCL13	6357	ENSG00000181374
CCL14	6358	ENSG00000213494
CCL15	6359	ENSG00000267596
CCL15-CCL14	348249	ENSG00000161574
CCL16	6360	ENSG00000161573
CCL17	6361	ENSG00000102970
CCL18	6362	ENSG00000006074
CCL19	6363	ENSG00000172724
CCL20	6364	ENSG00000115009
CCL21	6366	ENSG00000137077
CCL22	6367	ENSG00000102962
CCL23	6368	ENSG00000167236
CCL24	6369	ENSG00000106178
CCL25	6370	ENSG00000131142
CCL26	10344	ENSG00000006606
CCL27	10850	ENSG00000213927
CCL28	56477	ENSG00000151882
CCM2	83605	ENSG00000136280
CCM2L	140706	ENSG00000101331
CCNA1	8900	ENSG00000133101
CCNA2	890	ENSG00000145386
CCNB1	891	ENSG00000134057
CCNB1IP1	57820	ENSG00000100814
CCNB1IP1P1	728887	ENSG00000229815
CCNB1IP1P2	100505892	ENSG00000230860
CCNB1IP1P3	100128456	ENSG00000231001
CCNB2	9133	ENSG00000157456
CCNB2P1	100132073	ENSG00000214998
CCNB3	85417	ENSG00000147082
CCNB3P1	100131678	ENSG00000249616
CCNC	892	ENSG00000112237
CCND1	595	ENSG00000110092
CCND2	894	ENSG00000118971
CCND2-AS1		ENSG00000256164
CCND2-AS2		ENSG00000255920
CCND2P1	895	ENSG00000256847
CCND3	896	ENSG00000112576
CCND3P1	897	ENSG00000224473
CCND3P2		ENSG00000265836
CCNDBP1	23582	ENSG00000166946
CCNE1	898	ENSG00000105173
CCNE2	9134	ENSG00000175305
CCNF	899	ENSG00000162063
CCNG1	900	ENSG00000113328
CCNG1P1	100130820	ENSG00000218991
CCNG2	901	ENSG00000138764
CCNG2P1	100128681	ENSG00000258112
CCNH	902	ENSG00000134480
CCNHP1	100128118	ENSG00000251433
CCNI	10983	ENSG00000118816
CCNI2	645121	ENSG00000205089
CCNJ	54619	ENSG00000107443
CCNJL	79616	ENSG00000135083
CCNJP1	100128459	ENSG00000227491
CCNJP2	100418724	ENSG00000223896
CCNK	8812	ENSG00000090061
CCNL1	57018	ENSG00000163660
CCNL2	81669	ENSG00000221978
CCNL2P1	100418743	ENSG00000248283
CCNO	10309	ENSG00000152669
CCNT1	904	ENSG00000129315
CCNT2	905	ENSG00000082258
CCNT2-AS1	100129961	ENSG00000224043
CCNT2P1	100418763	ENSG00000225672
CCNY	219771	ENSG00000108100
CCNYL1	151195	ENSG00000163249
CCNYL2	414194	ENSG00000182632
CCNYL3	642326	ENSG00000216671
CCP110	9738	ENSG00000103540
CCPG1	9236	
CCR1	1230	ENSG00000163823
CCR2	729230	ENSG00000121807
CCR3	1232	ENSG00000183625
CCR4	1233	ENSG00000183813
CCR5	1234	ENSG00000160791
CCR6	1235	ENSG00000112486
CCR7	1236	ENSG00000126353
CCR8	1237	ENSG00000179934
CCR9	10803	ENSG00000173585
CCR10	2826	ENSG00000184451
CCR12P	100133168	ENSG00000238241
CCRL1P1	285737	
CCRL2		ENSG00000121797
CCRN4L	25819	ENSG00000151014
CCS	9973	ENSG00000173992
CCSAP	126731	ENSG00000154429
CCSER1	401145	ENSG00000184305
CCSER2	54462	ENSG00000107771
CCT		
CCT2	10576	
CCT3	7203	ENSG00000163468
CCT3P1	646440	
CCT4	10575	ENSG00000115484
CCT4P1	650172	ENSG00000242703
CCT4P2	100131638	ENSG00000225569
CCT5	22948	ENSG00000150753
CCT5P1	402226	ENSG00000250444
CCT5P2	390415	ENSG00000230584
CCT6A	908	ENSG00000146731
CCT6B	10693	ENSG00000132141
CCT6P1	643253	ENSG00000228409
CCT6P2	391739	ENSG00000250526
CCT6P3	643180	ENSG00000234585
CCT6P4	100130481	ENSG00000232610
CCT6P5	100463286	
CCT7	10574	ENSG00000135624
CCT7P1	442267	ENSG00000217733
CCT7P2	100288772	ENSG00000249958
CCT8	10694	ENSG00000156261
CCT8L1P	155100	ENSG00000020219
CCT8L2	150160	ENSG00000198445
CCT8P1	644131	ENSG00000226015
CCV		
CCZ1	51622	ENSG00000122674
CCZ1B	221960	ENSG00000146574
CD1A	909	ENSG00000158477
CD1B	910	ENSG00000158485
CD1C	911	ENSG00000158481
CD1D	912	ENSG00000158473
CD1E	913	ENSG00000158488
CD2	914	ENSG00000116824
CD2AP	23607	ENSG00000198087
CD2BP2	10421	ENSG00000169217
CD3D	915	ENSG00000167286
CD3E	916	ENSG00000198851
CD3EAP	10849	
CD3G	917	ENSG00000160654
CD4	920	ENSG00000010610
CD5	921	ENSG00000110448
CD5L	922	ENSG00000073754
CD6	923	ENSG00000013725
CD7	924	
CD8A	925	ENSG00000153563
CD8B	926	ENSG00000172116
CD8BP	927	ENSG00000254126
CD9	928	ENSG00000010278
CD14	929	ENSG00000170458
CD19	930	ENSG00000177455
CD22	933	ENSG00000012124
CD24	100133941	
CD24P1	935	
CD24P2	936	ENSG00000261333
CD24P3	937	
CD24P4	938	ENSG00000185275
CD27	939	ENSG00000139193
CD27-AS1	678655	ENSG00000215039
CD28	940	ENSG00000178562
CD33	945	ENSG00000105383
CD34	947	ENSG00000174059
CD36	948	ENSG00000135218
CD37		
CD38	952	ENSG00000004468
CD40	958	ENSG00000101017
CD40LG	959	ENSG00000102245
CD44	960	ENSG00000026508
CD46	4179	ENSG00000117335
CD46P1	4182	ENSG00000244703
CD47	961	ENSG00000196776
CD48	962	ENSG00000117091
CD52	1043	ENSG00000169442
CD53	963	ENSG00000143119
CD55	1604	ENSG00000196352
CD58	965	ENSG00000116815
CD59	966	
CD63		
CD68	968	ENSG00000129226
CD69	969	ENSG00000110848
CD70	970	
CD72	971	ENSG00000137101
CD74	972	ENSG00000019582
CD79A		
CD79B		
CD80	941	ENSG00000121594
CD81	975	ENSG00000110651
CD81-AS1	101927682	ENSG00000238184
CD82	3732	
CD83	9308	ENSG00000112149
CD83P1	100128240	
CD84	8832	ENSG00000066294
CD86	942	ENSG00000114013
CD93	22918	ENSG00000125810
CD96		ENSG00000153283
CD97	976	
CD99	4267	ENSG00000002586
CD99L2	83692	ENSG00000102181
CD99P1	401577	ENSG00000223773
CD101	9398	ENSG00000134256
CD109	135228	ENSG00000156535
CD151	977	ENSG00000177697
CD160	11126	ENSG00000117281
CD163	9332	ENSG00000177575
CD163L1	283316	
CD164	8763	ENSG00000135535
CD164L2	388611	ENSG00000174950
CD177	57126	ENSG00000204936
CD177P1	653579	ENSG00000204933
CD180	4064	ENSG00000134061
CD200	4345	ENSG00000091972
CD200R1	131450	ENSG00000163606
CD200R1L	344807	ENSG00000206531
CD207	50489	ENSG00000116031
CD209	30835	
CD226	10666	ENSG00000150637
CD244	51744	ENSG00000122223
CD247	919	ENSG00000198821
CD248	57124	ENSG00000174807
CD274	29126	ENSG00000120217
CD276	80381	ENSG00000103855
CD300A	11314	ENSG00000167851
CD300C	10871	ENSG00000167850
CD300E	342510	ENSG00000186407
CD300LB	124599	ENSG00000178789
CD300LD	100131439	ENSG00000204345
CD300LF	146722	ENSG00000186074
CD300LG	146894	
CD302	9936	ENSG00000241399
CD320	51293	
CDA	978	ENSG00000158825
CDADC1	81602	ENSG00000102543
CDAN1	146059	
CDAN3		
CDB2		
CDC5L	988	ENSG00000096401
CDC6	990	ENSG00000094804
CDC7	8317	ENSG00000097046
CDC14A	8556	ENSG00000079335
CDC14B	8555	ENSG00000081377
CDC14C	168448	
CDC16	8881	ENSG00000130177
CDC20	991	ENSG00000117399
CDC20B	166979	ENSG00000164287
CDC20P1	157956	ENSG00000231007
CDC23	8697	ENSG00000094880
CDC25A	993	ENSG00000164045
CDC25B	994	ENSG00000101224
CDC25C	995	ENSG00000158402
CDC26	246184	ENSG00000176386
CDC26P1	729948	
CDC27	996	ENSG00000004897
CDC27P1	647696	ENSG00000233786
CDC27P2	100130277	ENSG00000237447
CDC34	997	
CDC37	11140	ENSG00000105401
CDC37L1	55664	ENSG00000106993
CDC37L1-AS1	101929351	ENSG00000273061
CDC37P1	390688	
CDC37P2	647015	
CDC40	51362	ENSG00000168438
CDC42	998	ENSG00000070831
CDC42-IT1		ENSG00000230068
CDC42BPA	8476	ENSG00000143776
CDC42BPB	9578	ENSG00000198752
CDC42BPG	55561	ENSG00000171219
CDC42EP1	11135	ENSG00000128283
CDC42EP2	10435	
CDC42EP3	10602	ENSG00000163171
CDC42EP3P1	100128845	ENSG00000268992
CDC42EP4	23580	
CDC42EP5	148170	ENSG00000167617
CDC42P1	170503	ENSG00000234933
CDC42P2	643336	ENSG00000234844
CDC42P3	100128627	ENSG00000253971
CDC42P4	100131440	ENSG00000249965
CDC42P5	100507354	ENSG00000253439
CDC42P6	643751	ENSG00000237350
CDC42SE1	56882	ENSG00000197622
CDC42SE2	56990	
CDC45	8318	ENSG00000093009
CDC73	79577	ENSG00000134371
CDC123	8872	ENSG00000151465
CDCA2	157313	ENSG00000184661
CDCA3	83461	
CDCA4	55038	ENSG00000170779
CDCA4P1	100420502	ENSG00000229029
CDCA4P2		ENSG00000224466
CDCA4P3	100420558	ENSG00000226289
CDCA4P4		ENSG00000234219
CDCA5	113130	ENSG00000146670
CDCA7	83879	ENSG00000144354
CDCA7L	55536	ENSG00000164649
CDCA8	55143	ENSG00000134690
CDCP1	64866	ENSG00000163814
CDCP2	200008	ENSG00000157211
CDH1	999	ENSG00000039068
CDH2	1000	ENSG00000170558
CDH3	1001	ENSG00000062038
CDH4	1002	ENSG00000179242
CDH5	1003	ENSG00000179776
CDH6	1004	ENSG00000113361
CDH7	1005	ENSG00000081138
CDH8	1006	ENSG00000150394
CDH9	1007	ENSG00000113100
CDH10	1008	ENSG00000040731
CDH11	1009	ENSG00000140937
CDH12	1010	ENSG00000154162
CDH12P1	100093625	
CDH12P2	1011	
CDH12P3	100093624	ENSG00000253492
CDH12P4	100093626	
CDH13	1012	
CDH15	1013	ENSG00000129910
CDH16	1014	ENSG00000166589
CDH17	1015	ENSG00000079112
CDH18	1016	ENSG00000145526
CDH19	28513	ENSG00000071991
CDH20	28316	ENSG00000101542
CDH22	64405	ENSG00000149654
CDH23	64072	ENSG00000107736
CDH23-AS1		ENSG00000223817
CDH24	64403	ENSG00000139880
CDH26	60437	ENSG00000124215
CDHR1	92211	ENSG00000148600
CDHR2	54825	
CDHR3	222256	ENSG00000128536
CDHR4	389118	ENSG00000187492
CDHR5	53841	ENSG00000099834
CDIP1	29965	ENSG00000089486
CDIPT	10423	ENSG00000103502
CDIPT-AS1	440356	ENSG00000214725
CDK1	983	ENSG00000170312
CDK2	1017	
CDK2AP1	8099	ENSG00000111328
CDK2AP2	10263	ENSG00000167797
CDK2AP2P1	100289027	ENSG00000234299
CDK2AP2P2		ENSG00000237451
CDK2AP2P3	401525	ENSG00000226020
CDK3	1018	ENSG00000250506
CDK4	1019	
CDK4PS	359941	
CDK5	1020	ENSG00000164885
CDK5PS	392265	ENSG00000235165
CDK5R1	8851	ENSG00000176749
CDK5R2	8941	ENSG00000171450
CDK5RAP1	51654	ENSG00000101391
CDK5RAP2	55755	ENSG00000136861
CDK5RAP3	80279	
CDK6	1021	ENSG00000105810
CDK7	1022	ENSG00000134058
CDK7PS	220786	
CDK8	1024	ENSG00000132964
CDK8PS	359940	
CDK9	1025	ENSG00000136807
CDK10	8558	ENSG00000185324
CDK11A	728642	ENSG00000008128
CDK11B	984	ENSG00000248333
CDK12	51755	ENSG00000167258
CDK13	8621	ENSG00000065883
CDK14	5218	ENSG00000058091
CDK15	65061	ENSG00000138395
CDK16	5127	ENSG00000102225
CDK17	5128	
CDK18	5129	ENSG00000117266
CDK19	23097	ENSG00000155111
CDK20	23552	ENSG00000156345
CDKAL1	54901	ENSG00000145996
CDKL1	8814	ENSG00000100490
CDKL2	8999	ENSG00000138769
CDKL3	51265	
CDKL4	344387	ENSG00000205111
CDKL5	6792	ENSG00000008086
CDKN1A	1026	ENSG00000124762
CDKN1A-AS1	100861512	
CDKN1B	1027	ENSG00000111276
CDKN1C	1028	ENSG00000129757
CDKN2A	1029	ENSG00000147889
CDKN2AIP	55602	ENSG00000168564
CDKN2AIPNL	91368	ENSG00000237190
CDKN2AIPNLP1	391169	ENSG00000177770
CDKN2AIPNLP2	100128579	ENSG00000145835
CDKN2AIPNLP3	100874397	ENSG00000224351
CDKN2B	1030	ENSG00000147883
CDKN2B-AS1	100048912	ENSG00000240498
CDKN2C	1031	ENSG00000123080
CDKN2D	1032	
CDKN3	1033	ENSG00000100526
CDL1		
CDL2		
CDNF	441549	ENSG00000185267
CDO1	1036	ENSG00000129596
CDON	50937	ENSG00000064309
CDPF1	150383	ENSG00000205643
CDR1	1038	ENSG00000184258
CDR1-AS	103611090	
CDR2	1039	
CDR2L	30850	ENSG00000109089
CDRT1	374286	ENSG00000241322
CDRT2	94144	
CDRT3	94145	
CDRT4	284040	ENSG00000239704
CDRT5	94148	
CDRT7	94150	ENSG00000259944
CDRT8	94151	
CDRT10	94153	
CDRT11	94154	
CDRT12	94155	
CDRT13	94156	
CDRT15	146822	ENSG00000223510
CDRT15L2	256223	ENSG00000214819
CDRT15P1	94158	
CDRT15P2	644694	ENSG00000227255
CDS1	1040	ENSG00000163624
CDS2	8760	ENSG00000101290
CDSN	1041	ENSG00000204539
CDT1	81620	ENSG00000167513
CDV3	55573	ENSG00000091527
CDV3P1	100129736	ENSG00000176243
CDX1	1044	ENSG00000113722
CDX2	1045	ENSG00000165556
CDX4	1046	ENSG00000131264
CDY1	9085	ENSG00000172288
CDY1B	253175	ENSG00000172352
CDY2A	9426	ENSG00000182415
CDY2B	203611	ENSG00000129873
CDY3P	286556	ENSG00000232235
CDY4P	386729	ENSG00000228411
CDY5P	378008	ENSG00000226449
CDY6P	386730	ENSG00000229138
CDY7P	386731	ENSG00000237558
CDY8P	386732	ENSG00000224033
CDY9P	378011	ENSG00000232899
CDY10P	140043	ENSG00000226042
CDY11P	378014	ENSG00000230029
CDY12P	386734	ENSG00000228850
CDY13P	386735	ENSG00000224873
CDY14P	386736	ENSG00000226873
CDY15P	386737	ENSG00000223362
CDY16P	386738	
