gene_id	gene_civic_url	name	entrez_id	description
2593	https://civic.genome.wustl.edu#/events/genes/2593/summary#gene	NRG1	3084	
2596	https://civic.genome.wustl.edu#/events/genes/2596/summary#gene	HIF1A	3091	
2622	https://civic.genome.wustl.edu#/events/genes/2622/summary#gene	HLA-DRA	3122	
2657	https://civic.genome.wustl.edu#/events/genes/2657/summary#gene	HMOX1	3162	
2747	https://civic.genome.wustl.edu#/events/genes/2747/summary#gene	HRAS	3265	
2778	https://civic.genome.wustl.edu#/events/genes/2778/summary#gene	HSPA5	3309	
2784	https://civic.genome.wustl.edu#/events/genes/2784/summary#gene	HSPB1	3315	
2899	https://civic.genome.wustl.edu#/events/genes/2899/summary#gene	IGF1R	3480	
3090	https://civic.genome.wustl.edu#/events/genes/3090/summary#gene	JAK1	3716	
3153	https://civic.genome.wustl.edu#/events/genes/3153/summary#gene	KDR	3791	
3215	https://civic.genome.wustl.edu#/events/genes/3215/summary#gene	KRT18	3875	
3255	https://civic.genome.wustl.edu#/events/genes/3255/summary#gene	STMN1	3925	
3274	https://civic.genome.wustl.edu#/events/genes/3274/summary#gene	LEPR	3953	
3465	https://civic.genome.wustl.edu#/events/genes/3465/summary#gene	MDM2	4193	
3537	https://civic.genome.wustl.edu#/events/genes/3537/summary#gene	KMT2A	4297	
3549	https://civic.genome.wustl.edu#/events/genes/3549/summary#gene	MMP2	4313	
3553	https://civic.genome.wustl.edu#/events/genes/3553/summary#gene	MMP9	4318	
3586	https://civic.genome.wustl.edu#/events/genes/3586/summary#gene	MRE11A	4361	
3672	https://civic.genome.wustl.edu#/events/genes/3672/summary#gene	MTHFR	4524	
3741	https://civic.genome.wustl.edu#/events/genes/3741/summary#gene	MYCN	4613	
3742	https://civic.genome.wustl.edu#/events/genes/3742/summary#gene	MYD88	4615	
3755	https://civic.genome.wustl.edu#/events/genes/3755/summary#gene	MYH11	4629	MYH11 is most commonly seen from a cancer setting in its role in the CBFB-MYH11 fusion protein. It is associated with favorable prognosis in acute myeloid leukemia.
3852	https://civic.genome.wustl.edu#/events/genes/3852/summary#gene	NEDD9	4739	
3870	https://civic.genome.wustl.edu#/events/genes/3870/summary#gene	NF2	4771	
3976	https://civic.genome.wustl.edu#/events/genes/3976/summary#gene	NT5E	4907	
3983	https://civic.genome.wustl.edu#/events/genes/3983/summary#gene	NTRK1	4914	
4244	https://civic.genome.wustl.edu#/events/genes/4244/summary#gene	ABCB1	5243	
4286	https://civic.genome.wustl.edu#/events/genes/4286/summary#gene	PIM1	5292	
4371	https://civic.genome.wustl.edu#/events/genes/4371/summary#gene	PMS2	5395	
4419	https://civic.genome.wustl.edu#/events/genes/4419/summary#gene	POU5F1	5460	
4503	https://civic.genome.wustl.edu#/events/genes/4503/summary#gene	PRKAA2	5563	
4532	https://civic.genome.wustl.edu#/events/genes/4532/summary#gene	MAPK1	5594	
4616	https://civic.genome.wustl.edu#/events/genes/4616/summary#gene	PSMB8	5696	
4645	https://civic.genome.wustl.edu#/events/genes/4645/summary#gene	PTCH1	5727	
4692	https://civic.genome.wustl.edu#/events/genes/4692/summary#gene	PTPRD	5789	
4753	https://civic.genome.wustl.edu#/events/genes/4753/summary#gene	RAC1	5879	The RAC1 P29S mutation is the third most common protein-coding hotspot mutation in melanomas, ocurring in 4-9%. A preclinical study has shown that this mutation confers resistance to BRAF inhibition in-vitro.
4765	https://civic.genome.wustl.edu#/events/genes/4765/summary#gene	RAD51D	5892	
4875	https://civic.genome.wustl.edu#/events/genes/4875/summary#gene	RIT1	6016	
4941	https://civic.genome.wustl.edu#/events/genes/4941/summary#gene	ROS1	6098	
5013	https://civic.genome.wustl.edu#/events/genes/5013/summary#gene	RPS6	6194	
5365	https://civic.genome.wustl.edu#/events/genes/5365/summary#gene	SMO	6608	
5500	https://civic.genome.wustl.edu#/events/genes/5500/summary#gene	SSX1	6756	
5501	https://civic.genome.wustl.edu#/events/genes/5501/summary#gene	SSX2	6757	
5503	https://civic.genome.wustl.edu#/events/genes/5503/summary#gene	SSX4	6759	
5516	https://civic.genome.wustl.edu#/events/genes/5516/summary#gene	STAT3	6774	
5534	https://civic.genome.wustl.edu#/events/genes/5534/summary#gene	STK11	6794	
5572	https://civic.genome.wustl.edu#/events/genes/5572/summary#gene	SYK	6850	
5649	https://civic.genome.wustl.edu#/events/genes/5649/summary#gene	ZEB1	6935	
5737	https://civic.genome.wustl.edu#/events/genes/5737/summary#gene	TFF3	7033	
5742	https://civic.genome.wustl.edu#/events/genes/5742/summary#gene	TGFA	7039	
5761	https://civic.genome.wustl.edu#/events/genes/5761/summary#gene	THBS2	7058	
5777	https://civic.genome.wustl.edu#/events/genes/5777/summary#gene	TIMP1	7076	
5845	https://civic.genome.wustl.edu#/events/genes/5845/summary#gene	TOP1	7150	
5848	https://civic.genome.wustl.edu#/events/genes/5848/summary#gene	TOP2A	7153	
5971	https://civic.genome.wustl.edu#/events/genes/5971/summary#gene	TYMS	7298	
6023	https://civic.genome.wustl.edu#/events/genes/6023/summary#gene	UGT1A	7361	
6071	https://civic.genome.wustl.edu#/events/genes/6071/summary#gene	VEGFA	7422	
6104	https://civic.genome.wustl.edu#/events/genes/6104/summary#gene	WEE1	7465	
6144	https://civic.genome.wustl.edu#/events/genes/6144/summary#gene	XRCC1	7515	
6329	https://civic.genome.wustl.edu#/events/genes/6329/summary#gene	CXCR4	7852	
6906	https://civic.genome.wustl.edu#/events/genes/6906/summary#gene	ABCC3	8714	
7009	https://civic.genome.wustl.edu#/events/genes/7009/summary#gene	CFLAR	8837	
7014	https://civic.genome.wustl.edu#/events/genes/7014/summary#gene	PROM1	8842	
7024	https://civic.genome.wustl.edu#/events/genes/7024/summary#gene	ALDH1A2	8854	
7041	https://civic.genome.wustl.edu#/events/genes/7041/summary#gene	SPHK1	8877	
7297	https://civic.genome.wustl.edu#/events/genes/7297/summary#gene	PTTG1	9232	
7451	https://civic.genome.wustl.edu#/events/genes/7451/summary#gene	ABCG2	9429	
8262	https://civic.genome.wustl.edu#/events/genes/8262/summary#gene	TUBB3	10381	
8338	https://civic.genome.wustl.edu#/events/genes/8338/summary#gene	FST	10468	
8407	https://civic.genome.wustl.edu#/events/genes/8407/summary#gene	AGR2	10551	
8553	https://civic.genome.wustl.edu#/events/genes/8553/summary#gene	STAG2	10735	
8614	https://civic.genome.wustl.edu#/events/genes/8614/summary#gene	HSPH1	10808	
8878	https://civic.genome.wustl.edu#/events/genes/8878/summary#gene	PTPRT	11122	
8908	https://civic.genome.wustl.edu#/events/genes/8908/summary#gene	PTP4A3	11156	
8950	https://civic.genome.wustl.edu#/events/genes/8950/summary#gene	CHEK2	11200	
9171	https://civic.genome.wustl.edu#/events/genes/9171/summary#gene	DKK1	22943	
9189	https://civic.genome.wustl.edu#/events/genes/9189/summary#gene	NT5C2	22978	This gene, when mutated to be over-active, has been linked to chemotherapy resistance in relapsed T-cell Acute Lymphoblastic Leukemia.
9705	https://civic.genome.wustl.edu#/events/genes/9705/summary#gene	CBLC	23624	
10024	https://civic.genome.wustl.edu#/events/genes/10024/summary#gene	SETBP1	26040	
10573	https://civic.genome.wustl.edu#/events/genes/10573/summary#gene	PDCD4	27250	
11261	https://civic.genome.wustl.edu#/events/genes/11261/summary#gene	MAGEH1	28986	
11322	https://civic.genome.wustl.edu#/events/genes/11322/summary#gene	TBK1	29110	
11335	https://civic.genome.wustl.edu#/events/genes/11335/summary#gene	CD274	29126	
11587	https://civic.genome.wustl.edu#/events/genes/11587/summary#gene	FOXP3	50943	
12112	https://civic.genome.wustl.edu#/events/genes/12112/summary#gene	CDK12	51755	
12121	https://civic.genome.wustl.edu#/events/genes/12121/summary#gene	RSF1	51773	
12146	https://civic.genome.wustl.edu#/events/genes/12146/summary#gene	LRP1B	53353	
12367	https://civic.genome.wustl.edu#/events/genes/12367/summary#gene	ROBO4	54538	
12903	https://civic.genome.wustl.edu#/events/genes/12903/summary#gene	FBXW7	55294	
13005	https://civic.genome.wustl.edu#/events/genes/13005/summary#gene	DDX43	55510	
13276	https://civic.genome.wustl.edu#/events/genes/13276/summary#gene	PBK	55872	
13948	https://civic.genome.wustl.edu#/events/genes/13948/summary#gene	KIAA1524	57650	
14842	https://civic.genome.wustl.edu#/events/genes/14842/summary#gene	BIRC7	79444	
16394	https://civic.genome.wustl.edu#/events/genes/16394/summary#gene	HAVCR2	84868	
16656	https://civic.genome.wustl.edu#/events/genes/16656/summary#gene	ABCC10	89845	
16872	https://civic.genome.wustl.edu#/events/genes/16872/summary#gene	SLFN11	91607	
17016	https://civic.genome.wustl.edu#/events/genes/17016/summary#gene	NAPRT	93100	
24938	https://civic.genome.wustl.edu#/events/genes/24938/summary#gene	MIR218-1	407000	
26599	https://civic.genome.wustl.edu#/events/genes/26599/summary#gene	ECSCR	641700	
